n, chi2, alfa, beta, gama
274, 6.201982, 2.9785, 0.9929, -0.3711
275, 5.729953, 3.1866, 0.9733, -0.2856
276, 4.869696, 3.3707, 0.9340, -0.3229
277, 3.690483, 3.3081, 0.9646, -0.3186
278, 6.968161, 3.2596, 0.9868, -0.3238
279, 5.853672, 3.2127, 0.9304, -0.3763
280, 5.438351, 3.3528, 0.9623, -0.2656
281, 5.559384, 3.4223, 0.9274, -0.3100
282, 4.426820, 3.5218, 0.9264, -0.3743
283, 4.874134, 3.4884, 0.9450, -0.2948
284, 7.249991, 3.4950, 0.9592, -0.2822
285, 5.818942, 3.5426, 0.9166, -0.2900
286, 3.644250, 3.5542, 0.8874, -0.3802
287, 4.649289, 3.3948, 0.9167, -0.3619
288, 3.513648, 3.3703, 0.9463, -0.3441
289, 8.235063, 3.4305, 0.8802, -0.4396
290, 3.390459, 3.5788, 0.9124, -0.3715
291, 4.387815, 3.6387, 0.8772, -0.3643
292, 4.525532, 3.6144, 0.9123, -0.3755
293, 5.045993, 3.6524, 0.8523, -0.3941
294, 4.185688, 3.6119, 0.8650, -0.3893
295, 3.966703, 3.6157, 0.8875, -0.3749
296, 4.331016, 3.5827, 0.9130, -0.3151
297, 4.529192, 3.5946, 0.8887, -0.3641
298, 5.324283, 3.5807, 0.8633, -0.3873
299, 6.404493, 3.5103, 0.8965, -0.3391
300, 7.241654, 3.5950, 0.9306, -0.3335
301, 5.573415, 3.6506, 0.8799, -0.3438
302, 5.000982, 3.7219, 0.9164, -0.2842
303, 4.723325, 3.7371, 0.8680, -0.3614
304, 4.192001, 3.8163, 0.8747, -0.3449
305, 4.075838, 3.8485, 0.8461, -0.3814
306, 3.511963, 3.8276, 0.8671, -0.3798
307, 4.025076, 3.8027, 0.8764, -0.4513
308, 5.357819, 3.8629, 0.8844, -0.3268
309, 6.509833, 3.8467, 0.7918, -0.4490
310, 4.098124, 3.7926, 0.8429, -0.4659
311, 4.184723, 3.8408, 0.8636, -0.4367
312, 5.246606, 3.7938, 0.8246, -0.4389
313, 3.952779, 3.7581, 0.8875, -0.3300
314, 3.901970, 3.7157, 0.8504, -0.4040
315, 4.072193, 3.7377, 0.8939, -0.4307
316, 5.387338, 3.6276, 0.9151, -0.2680
317, 6.402670, 3.6515, 0.9941, -0.2107
318, 5.391659, 3.6684, 0.9290, -0.2427
319, 5.231674, 3.4705, 0.9319, -0.2927
320, 6.855043, 3.3457, 0.8972, -0.3681
321, 8.698886, 3.5662, 0.8255, -0.3979
322, 9.397846, 3.4121, 0.8808, -0.3854
323, 9.228366, 3.5317, 0.9228, -0.4672
324, 9.459643, 3.5022, 0.8769, -0.4778
325, 7.151455, 3.4237, 0.9201, -0.4539
326, 9.439658, 3.6613, 0.8431, -0.4960
327, 10.176311, 3.6241, 0.8159, -0.4053
328, 16.496574, 3.6079, 1.0386, -0.2381
329, 20.470919, 3.6496, 0.9754, -0.1290
330, 7.068436, 3.6675, 0.9000, -0.2760
331, 7.503028, 3.6600, 0.8409, -0.4000
332, 3.460431, 3.7344, 0.8655, -0.4497
333, 5.145084, 3.9677, 0.8501, -0.4702
334, 7.851842, 4.1412, 0.7364, -0.4927
335, 10.635222, 4.0925, 0.7347, -0.4579
336, 3.575524, 4.0402, 0.8158, -0.4424
337, 4.267501, 3.9519, 0.8561, -0.3794
338, 5.365739, 3.9893, 0.8166, -0.3802
339, 5.021253, 3.9315, 0.8678, -0.2867
340, 4.034291, 3.7610, 0.8952, -0.3416
341, 4.369605, 3.8326, 0.8887, -0.3724
342, 4.174549, 3.8735, 0.8632, -0.3868
343, 3.837311, 3.9585, 0.8347, -0.3934
344, 4.813639, 3.9291, 0.8683, -0.3117
345, 4.906634, 3.9219, 0.8185, -0.4942
346, 3.853143, 3.9508, 0.8473, -0.3894
347, 5.657877, 4.0397, 0.8736, -0.2922
348, 5.418457, 4.0234, 0.9347, -0.2165
349, 5.702295, 4.0426, 0.9143, -0.2247
350, 5.388824, 4.1397, 0.8985, -0.2209
351, 5.358636, 4.1578, 0.8414, -0.3553
352, 5.800970, 4.0691, 0.8258, -0.3370
353, 5.040587, 4.0445, 0.8742, -0.2736
354, 5.809942, 4.0902, 0.8835, -0.2444
355, 3.462212, 3.9745, 0.8356, -0.4222
356, 3.494637, 3.8782, 0.8367, -0.4248
357, 3.312443, 3.7140, 0.8834, -0.4191
358, 3.573785, 3.7909, 0.8802, -0.3696
359, 3.904701, 4.0504, 0.8199, -0.4514
360, 4.212877, 3.9846, 0.8225, -0.4901
361, 7.136196, 4.0923, 0.8048, -0.5278
362, 3.750910, 4.2151, 0.7984, -0.4457
363, 5.970468, 4.1955, 0.7680, -0.4443
364, 5.170264, 4.1666, 0.7546, -0.5078
365, 5.137633, 4.1579, 0.7974, -0.3947
366, 4.453897, 4.2002, 0.8253, -0.3483
367, 5.483812, 4.1631, 0.8870, -0.2223
368, 6.401683, 4.0229, 0.8938, -0.2105
369, 10.005685, 4.0582, 1.0354, -0.1323
370, 10.851304, 4.0787, 0.9744, -0.2384
371, 17.251989, 4.0836, 0.9363, -0.1325
372, 6.295322, 4.1021, 0.9524, -0.1883
373, 9.143089, 4.2490, 0.8547, -0.3197
374, 4.550633, 4.0873, 0.8383, -0.4042
375, 4.535051, 4.0396, 0.8592, -0.2861
376, 5.226640, 4.1810, 0.8626, -0.2530
377, 5.142627, 4.1038, 0.9303, -0.2070
378, 6.812641, 4.1435, 0.9324, -0.2373
379, 7.274207, 4.0625, 0.8815, -0.2093
380, 8.448157, 3.9634, 0.9496, -0.2413
381, 6.138296, 3.9478, 0.8891, -0.2869
382, 3.609605, 4.0922, 0.8199, -0.4511
383, 5.098615, 4.1172, 0.7825, -0.5041
384, 5.734182, 4.1557, 0.7675, -0.5093
385, 7.644807, 4.1144, 0.7699, -0.5352
386, 5.921327, 4.1567, 0.7523, -0.5053
387, 4.431670, 4.2799, 0.7649, -0.4422
388, 6.230606, 4.3838, 0.8025, -0.4459
389, 5.467156, 4.3532, 0.7386, -0.5034
390, 4.510383, 4.4441, 0.7481, -0.4554
391, 4.182591, 4.3437, 0.7911, -0.4839
392, 4.343277, 4.1752, 0.7818, -0.4273
393, 3.597901, 4.3039, 0.7718, -0.4887
394, 3.650134, 4.3984, 0.7615, -0.4834
395, 4.562455, 4.5094, 0.7245, -0.4988
396, 4.064368, 4.6763, 0.7311, -0.4909
397, 4.323631, 4.6108, 0.7327, -0.4769
398, 4.862144, 4.5884, 0.7473, -0.4423
399, 5.743719, 4.5505, 0.8017, -0.2723
400, 6.406501, 4.4456, 0.8910, -0.2528
401, 10.246917, 4.4438, 0.8821, -0.1842
402, 9.369332, 4.6359, 0.7684, -0.2948
403, 9.008872, 4.8230, 0.8676, -0.2626
404, 8.599238, 4.8934, 0.8770, -0.1778
405, 7.298925, 4.7926, 0.9289, -0.1645
