     ID ,       RA ,       DE ,   MagK ,    K_t , lgL_K ,  Vls ,   D_i ,     ID1
1041314 , 260.4543 ,  20.2942 , -20.60 ,   7.57 ,  9.55 ,  495 ,  4.30 , 1013938
1013968 , 257.0083 ,  13.6250 , -20.41 ,   4.15 ,  9.48 ,  349 ,  0.82 , 1013938
1038656 , 262.1058 ,  17.6051 , -20.01 ,   7.77 ,  9.31 ,  524 ,  3.60 , 1013938
1014000 , 255.8580 ,  -0.3847 , -18.13 ,   6.51 ,  8.56 ,  663 ,  0.85 , 1013938
1057831 , 263.4449 ,  19.5686 , -17.59 ,  10.44 ,  8.35 ,  613 ,  4.03 , 1013938
1014015 , 259.0399 ,  11.9009 , -17.39 ,   6.19 ,  8.27 ,  692 ,  0.52 , 1013938
1038657 , 262.1984 ,  19.9063 , -16.45 ,  11.43 ,  7.89 ,  580 ,  3.76 , 1013938
1041315 , 260.6128 ,  20.3934 , -16.03 ,  12.13 ,  7.72 ,  558 ,  4.29 , 1013938
1014027 , 257.0677 ,   7.2040 , -15.81 ,   8.74 ,  7.63 ,  155 ,  0.81 , 1013938
1027811 , 211.6884 ,  34.8747 , -24.72 ,   5.20 , 11.20 ,  656 ,  9.63 , 1027811
1053014 , 212.0916 ,  34.9786 , -18.61 ,  10.48 ,  8.76 ,  486 ,  6.59 , 1027811
1027812 , 210.5319 ,  35.4554 , -15.96 ,  13.91 ,  7.69 ,  696 ,  9.39 , 1027811
1085001 , 212.1458 ,  35.5588 , -15.61 ,  13.97 ,  7.56 ,  541 ,  8.24 , 1027811
1027813 , 209.9859 ,  35.1931 , -15.56 ,  14.30 ,  7.54 ,  663 ,  9.40 , 1027811
1081734 , 214.7340 ,  35.9266 , -15.50 ,  13.94 ,  7.51 ,  578 ,  7.71 , 1027811
1013944 , 157.2862 ,  14.0485 , -23.80 ,  -2.99 , 10.83 , -148 ,  0.15 , 1013944
1032661 , 203.4824 , -10.6415 , -23.06 ,   2.87 , 10.53 ,   96 ,  1.53 , 1013944
1013952 , 213.8808 ,  -8.3013 , -22.44 ,   1.01 , 10.29 ,   47 ,  0.49 , 1013944
1046002 , 186.9823 ,  -6.8952 , -20.28 ,   6.82 ,  9.42 ,  184 ,  2.63 , 1013944
1013962 , 153.8780 , -25.4199 , -20.24 ,   2.67 ,  9.41 ,  -58 ,  0.38 , 1013944
1049443 , 195.4015 ,  10.7567 , -19.02 ,   8.74 ,  8.92 ,  291 ,  3.56 , 1013944
1052916 , 179.1533 ,   5.3424 , -18.43 ,  10.28 ,  8.68 ,  404 ,  5.52 , 1013944
1074458 , 194.1731 ,   6.7613 , -15.40 ,  10.99 ,  7.47 ,  151 ,  1.89 , 1013944
1014024 , 203.4216 ,   3.1064 , -15.14 ,  10.08 ,  7.37 ,  385 ,  1.11 , 1013944
1032662 , 200.5742 ,  -5.6474 , -14.89 ,  11.03 ,  7.27 ,   51 ,  1.53 , 1013944
1086875 , 201.2439 ,  -6.1599 , -14.87 ,  12.17 ,  7.26 ,  216 ,  2.56 , 1013944
1014043 , 165.8551 ,  21.2161 , -14.86 ,   5.92 ,  7.26 , -150 ,  0.14 , 1013944
1014034 , 218.7778 ,  -7.1635 , -14.81 ,   8.68 ,  7.24 ,  305 ,  0.50 , 1013944
1082560 , 191.4989 ,   3.3305 , -14.81 ,  13.31 ,  7.24 ,  310 ,  4.22 , 1013944
1087303 , 224.8411 , -10.9476 , -14.54 ,  11.20 ,  7.13 ,  259 ,  1.40 , 1013944
1013939 ,   0.0000 ,   0.0000 , -14.18 , -23.56 , 10.74 ,    0 ,   nan , 1013939
1013942 ,   6.2703 ,  -3.7615 , -23.54 ,   0.95 , 10.73 ,  116 ,  0.79 , 1013939
1013963 ,  33.8350 ,  17.4556 , -19.90 ,   3.55 ,  9.27 ,  -23 ,  0.49 , 1013939
1063514 , 333.7502 , -21.8023 , -17.34 ,   7.68 ,  8.25 ,  130 ,  1.01 , 1013939
1013998 ,  18.2472 ,  11.2456 , -16.79 ,   5.47 ,  8.03 ,  -31 ,  0.28 , 1013939
1086874 ,   5.8167 ,  32.8374 , -16.45 ,   8.46 ,  7.89 ,  -32 ,  0.96 , 1013939
1013986 ,  18.6632 , -16.3522 , -16.03 ,   7.06 ,  7.72 ,   19 ,  0.42 , 1013939
1014026 ,   9.0271 ,  -7.6985 , -15.04 ,   8.79 ,  7.33 ,   33 ,  0.58 , 1013939
1028835 , 147.5130 , -38.2524 , -24.29 ,   3.76 , 11.03 ,  247 ,  4.09 , 1028835
1028837 , 147.7151 , -38.4748 , -18.24 ,   9.82 ,  8.61 ,  327 ,  4.10 , 1028835
1028836 , 151.0422 , -38.8107 , -17.80 ,  10.33 ,  8.43 ,  343 ,  4.22 , 1028835
1076814 , 143.3799 , -40.0760 , -14.71 ,  13.52 ,  7.19 ,  201 ,  4.43 , 1028835
1028838 , 147.0805 , -37.0919 , -14.61 ,  13.49 ,  7.16 ,  272 ,  4.17 , 1028835
1028649 , 356.3542 , -53.8937 , -24.27 ,   5.51 , 11.02 ,  763 ,  9.05 , 1028649
1064798 ,   0.7861 , -54.4487 , -16.52 ,  13.38 ,  7.92 ,  814 ,  9.55 , 1028649
1023991 , 185.7882 , -45.2438 , -23.78 ,   4.79 , 10.82 ,  424 ,  5.18 , 1023991
1030597 , 185.3693 , -44.5281 , -23.09 ,   5.03 , 10.55 ,  348 ,  4.20 , 1023991
1030598 , 185.7460 , -48.1125 , -19.63 ,   8.52 ,  9.16 ,  336 ,  4.27 , 1023991
1049970 , 187.8151 , -48.7329 , -18.68 ,   8.82 ,  8.78 ,  255 ,  3.16 , 1023991
1030599 , 185.1184 , -44.5799 , -18.59 ,   9.52 ,  8.75 ,  238 ,  4.19 , 1023991
1066487 , 188.1181 , -45.0992 , -17.34 ,  11.05 ,  8.25 ,  462 ,  4.78 , 1023991
