 log10_L ,  log10_M
 8.64300 , 10.82665
 8.64400 , 10.82715
 8.64500 , 10.82765
 8.64600 , 10.82815
 8.64700 , 10.82865
 8.64800 , 10.82915
 8.64900 , 10.82965
 8.65000 , 10.83015
 8.65100 , 10.83065
 8.65200 , 10.83115
 8.65300 , 10.83165
 8.65400 , 10.83215
 8.65500 , 10.83265
 8.65600 , 10.83315
 8.65700 , 10.83365
 8.65800 , 10.83415
 8.65900 , 10.83465
 8.66000 , 10.83515
 8.66100 , 10.83565
 8.66200 , 10.83615
 8.66300 , 10.83665
 8.66400 , 10.83715
 8.66500 , 10.83765
 8.66600 , 10.83815
 8.66700 , 10.83865
 8.66800 , 10.83915
 8.66900 , 10.83965
 8.67000 , 10.84015
 8.67100 , 10.84065
 8.67200 , 10.84115
 8.67300 , 10.84165
 8.67400 , 10.84215
 8.67500 , 10.84265
 8.67600 , 10.84315
 8.67700 , 10.84365
 8.67800 , 10.84415
 8.67900 , 10.84465
 8.68000 , 10.84515
 8.68100 , 10.84565
 8.68200 , 10.84615
 8.68300 , 10.84665
 8.68400 , 10.84715
 8.68500 , 10.84765
 8.68600 , 10.84815
 8.68700 , 10.84865
 8.68800 , 10.84915
 8.68900 , 10.84965
 8.69000 , 10.85015
 8.69100 , 10.85065
 8.69200 , 10.85115
 8.69300 , 10.85165
 8.69400 , 10.85215
 8.69500 , 10.85265
 8.69600 , 10.85315
 8.69700 , 10.85365
 8.69800 , 10.85415
 8.69900 , 10.85465
 8.70000 , 10.85515
 8.70100 , 10.85565
 8.70200 , 10.85615
 8.70300 , 10.85665
 8.70400 , 10.85715
 8.70500 , 10.85765
 8.70600 , 10.85815
 8.70700 , 10.85865
 8.70800 , 10.85915
 8.70900 , 10.85965
 8.71000 , 10.86015
 8.71100 , 10.86065
 8.71200 , 10.86115
 8.71300 , 10.86165
 8.71400 , 10.86215
 8.71500 , 10.86265
 8.71600 , 10.86315
 8.71700 , 10.86365
 8.71800 , 10.86415
 8.71900 , 10.86465
 8.72000 , 10.86515
 8.72100 , 10.86565
 8.72200 , 10.86615
 8.72300 , 10.86665
