n, chi2, alfa, beta, gama
396, 8.089527, 4.0029, 0.8582, -0.4836
397, 5.318733, 4.6460, 0.7543, -0.4307
398, 6.178362, 3.2267, 0.9947, -0.2893
399, 5.595982, 3.9649, 0.7929, -0.4611
400, 5.041537, 4.2419, 0.7884, -0.3823
401, 6.047253, 4.9869, 0.7925, -0.2515
402, 5.889035, 3.8881, 0.8621, -0.3053
403, 10.481436, 3.5849, 0.8190, -0.4197
404, 14.848207, 4.9358, 0.6627, -0.4069
405, 4.275973, 4.0482, 0.7986, -0.4280
406, 5.735334, 4.1794, 0.7717, -0.4412
407, 4.367566, 4.0764, 0.8598, -0.2938
408, 3.933718, 4.0366, 0.8038, -0.4758
409, 6.728437, 4.0881, 0.7527, -0.4470
410, 6.632073, 4.9116, 0.7436, -0.3282
411, 8.006394, 3.9075, 0.7890, -0.5125
412, 6.069494, 4.7030, 0.7577, -0.4484
413, 14.901696, 3.6178, 0.8534, -0.5223
414, 10.450595, 4.1716, 0.8459, -0.4712
415, 3.243439, 3.7347, 0.8653, -0.4439
416, 3.386821, 3.6119, 0.8692, -0.4318
417, 4.899150, 4.0060, 0.8482, -0.4293
418, 6.671365, 3.7702, 0.8536, -0.4949
419, 5.755809, 4.3002, 0.7772, -0.3916
420, 4.695322, 4.1667, 0.8095, -0.3767
421, 3.485329, 3.6788, 0.8569, -0.4400
422, 5.162752, 4.3201, 0.7393, -0.4874
423, 5.555402, 4.2947, 0.7584, -0.4266
424, 5.860970, 4.0731, 0.7685, -0.4679
425, 3.685938, 4.0290, 0.8194, -0.4137
426, 5.430102, 4.7172, 0.8092, -0.2472
427, 3.228543, 3.8435, 0.8373, -0.4515
428, 5.657856, 4.7819, 0.7861, -0.2854
429, 6.340353, 3.4659, 0.8805, -0.3650
430, 4.291321, 4.0470, 0.8520, -0.3341
431, 9.274762, 4.3143, 0.8647, -0.2707
432, 6.790237, 4.4789, 0.7952, -0.4640
433, 4.897268, 3.9777, 0.8721, -0.3176
434, 5.926264, 4.6025, 0.7485, -0.5383
435, 9.350270, 4.9658, 0.6956, -0.3772
436, 10.379428, 3.7657, 0.8231, -0.5090
437, 3.961266, 3.7307, 0.8456, -0.4086
438, 4.648322, 4.0244, 0.8005, -0.4078
439, 5.429496, 4.2730, 0.7908, -0.3701
440, 6.578123, 4.3464, 0.8003, -0.3107
441, 4.662659, 4.3558, 0.7949, -0.3706
442, 4.057130, 4.1567, 0.8173, -0.4065
443, 8.541924, 4.8206, 0.8858, -0.2517
444, 5.449391, 4.6989, 0.8316, -0.2350
445, 7.437555, 4.0548, 0.8622, -0.4420
446, 3.807098, 4.4827, 0.7507, -0.4819
447, 5.643970, 4.1923, 0.8002, -0.3643
448, 5.621144, 4.8220, 0.8020, -0.2346
449, 4.624269, 4.8189, 0.7132, -0.5150
450, 6.650857, 5.1264, 0.7725, -0.2524
451, 5.435211, 4.9436, 0.6544, -0.5455
452, 7.104563, 3.7326, 0.8029, -0.4356
453, 7.535244, 4.4790, 0.7490, -0.3758
454, 9.254395, 4.0538, 0.7884, -0.3597
455, 7.893848, 5.0078, 0.6999, -0.3908
456, 7.199454, 3.8247, 0.8947, -0.4346
457, 5.746992, 4.0778, 0.9380, -0.2256
458, 5.026068, 3.7141, 0.8477, -0.3798
459, 5.403930, 5.4317, 0.8341, -0.2099
460, 3.897989, 3.9531, 0.8197, -0.4228
461, 5.174663, 4.1217, 0.7857, -0.4094
462, 6.295900, 4.8312, 0.7396, -0.3865
463, 6.028485, 3.2407, 0.9701, -0.4039
464, 3.432028, 3.7069, 0.8796, -0.3948
465, 7.583425, 4.8621, 0.6893, -0.5770
466, 3.333294, 3.6404, 0.8758, -0.4084
467, 6.290366, 4.3715, 0.7385, -0.5400
468, 4.859481, 3.4660, 0.8809, -0.4069
469, 5.791348, 4.3401, 0.8330, -0.3095
470, 4.307631, 4.9017, 0.6939, -0.5234
471, 6.173423, 4.1266, 0.8136, -0.3411
