  n        chi2     alfa     beta      gama
487    3.972527   3.9095   0.8158   -0.4627
488    6.984199   4.0347   0.8832   -0.2122
489    5.823768   4.8887   0.8544   -0.2457
490    6.197545   3.5435   0.9264   -0.4275
491    5.136344   4.3520   0.8824   -0.2194
492   11.078772   4.1400   0.7271   -0.4605
493    3.963839   4.5227   0.7391   -0.4799
494    3.442508   3.8377   0.8581   -0.4535
495    4.371296   4.1984   0.8162   -0.3588
496    4.954220   4.7476   0.7392   -0.4991
497    5.773856   3.5485   0.9353   -0.4055
498    4.983863   4.6572   0.7183   -0.4602
499    5.249517   4.9275   0.7035   -0.4786
500    3.788205   4.3414   0.7671   -0.4558
501    5.697123   4.0099   0.7849   -0.4951
502    7.510261   4.9995   0.7267   -0.3338
503    5.913349   4.7397   0.7578   -0.4009
504    7.626403   4.9661   0.7459   -0.3530
505    3.518865   3.6269   0.9027   -0.3646
506    4.533200   3.4671   0.9344   -0.4013
507    3.794799   3.8127   0.8771   -0.3958
508    7.915419   3.5931   0.8455   -0.4018
509    8.967929   4.4814   0.7974   -0.4422
510    6.808534   4.1884   0.8318   -0.4065
511    6.146015   4.3687   0.7461   -0.4589
512    6.857122   4.1215   0.8411   -0.4347
513    4.368877   3.9897   0.8128   -0.4009
514   12.935810   3.6524   0.8745   -0.5143
515    7.221839   4.4953   0.7824   -0.5456
516    6.920656   3.3280   0.9072   -0.4407
517    6.608400   4.7727   0.8725   -0.2467
518    5.167902   3.8117   0.9118   -0.2357
519    5.722199   4.3064   0.7519   -0.5058
520    5.749645   4.2010   0.7690   -0.4530
521    5.511390   4.5704   0.7691   -0.3634
522    5.580903   3.6843   0.8403   -0.4466
523    9.004057   2.9965   0.9679   -0.3353
524    5.542141   3.4032   0.8997   -0.3836
525    5.978199   4.3434   0.7590   -0.3900
526    6.920356   3.6698   0.8880   -0.3051
527    5.574012   4.0496   0.8097   -0.5069
528    6.292534   4.0835   0.7739   -0.4540
529    9.198027   4.5085   0.7683   -0.3239
530    7.964302   4.9962   0.8444   -0.2579
531    8.810362   3.4066   0.8774   -0.4537
532    4.908929   4.4164   0.7782   -0.4027
533   10.506673   4.4388   0.7978   -0.5500
534    8.704077   3.4341   0.8988   -0.4729
535    5.815357   4.3101   0.7481   -0.4602
536    4.803824   3.3762   0.9289   -0.4054
537    5.096249   4.5689   0.7190   -0.5234
538    4.653020   4.1122   0.8185   -0.3795
539    4.685172   3.2467   0.9617   -0.3771
540    3.960952   3.7442   0.8884   -0.3327
